NM_001106739	SIX4
NM_001106739	SIX4
NM_001106739	SIX4
NM_001106739	SIX4
NM_012754	ESR2
NM_012754	ESR2
NM_001004444	ZBTB1
NM_001108042	ZFP410
NM_001108042	ZFP410
NM_001169128	VSX2
NM_001169128	VSX2
NM_022197	FOS
NM_022197	FOS
NM_022197	FOS
NM_053894	JDP2
NM_053894	JDP2
NM_053894	JDP2
NM_053894	JDP2
NM_001008516	ESRRB
NM_001008516	ESRRB
NM_001008516	ESRRB
NM_001191873	GSC
NM_001191873	GSC
NM_001191873	GSC
NM_001191873	GSC
NM_001191873	GSC
NM_173290	YY1
NM_173290	YY1
NM_173290	YY1
NM_173290	YY1
NM_173290	YY1
NM_173290	YY1
NM_173290	YY1
NM_173290	YY1
NM_173290	YY1
NM_173290	YY1
NM_173290	YY1
NM_173290	YY1
NM_173290	YY1
NM_001126302	ZBTB42
NM_001191774	SP8
NM_001191774	SP8
NM_001108066	ARID3A
NM_001108066	ARID3A
NM_001108066	ARID3A
NM_001108066	ARID3A
NM_001130573	MAFF
NM_001130573	MAFF
NM_001130573	MAFF
NM_001130573	MAFF
NM_001130573	MAFF
NM_001108080	SPIC
NM_001108080	SPIC
NM_001108080	SPIC
NM_032070	HMGA2
NM_001130537	ZBTB39
NM_001108115	ATF7
NM_001031649	SIRT6
NM_031567	NFIC
NM_054002	ZBTB7A
NM_001127604	KLF16
NM_133524	TCF3
NM_133524	TCF3
NM_133524	TCF3
NM_133524	TCF3
NM_133524	TCF3
NM_133524	TCF3
NM_001035237	TCF3
NM_001035237	TCF3
NM_001035237	TCF3
NM_001035237	TCF3
NM_001035237	TCF3
NM_001035237	TCF3
NM_001009664	ZFP414
NM_133312	PRDM4
NM_031553	NFYB
NM_001108743	ELK3
NM_001108743	ELK3
NM_012921	ALX1
NM_012921	ALX1
NM_012921	ALX1
NM_013172	MYF6
NM_013172	MYF6
NM_013172	MYF6
NM_013172	MYF6
NM_001108092	E2F7
NM_001191910	GLI1
NM_001191910	GLI1
NM_001044250	STAT6
NM_001044250	STAT6
NM_001044250	STAT6
NM_001044250	STAT6
NM_001012118	OSR2
NM_001012118	OSR2
NM_001012118	OSR2
NM_001012118	OSR2
NM_001012118	OSR2
NM_001012118	OSR2
NM_001025701	RAD21
NM_001025701	RAD21
NM_001025701	RAD21
NM_001025701	RAD21
NM_001025701	RAD21
NM_001025701	RAD21
NM_001025701	RAD21
NM_001025701	RAD21
NM_001025701	RAD21
NM_012603	MYC
NM_012603	MYC
NM_012603	MYC
NM_001029926	GLI4
NM_024393	HSF1
NM_024393	HSF1
NM_024393	HSF1
NM_024393	HSF1
NM_024393	HSF1
NM_024393	HSF1
NM_001130570	SCRT1
NM_001130570	SCRT1
NM_001130493	FOXH1
NM_001130493	FOXH1
NM_019193	SOX10
NM_019193	SOX10
NM_019193	SOX10
NM_019193	SOX10
NM_019193	SOX10
NM_019193	SOX10
NM_019193	SOX10
NM_019193	SOX10
NM_019193	SOX10
NM_024403	ATF4
NM_024403	ATF4
NM_024403	ATF4
NM_019194	TEF
NM_019194	TEF
NM_019194	TEF
NM_019194	TEF
NM_019194	TEF
NM_001033694	SREBF2
NM_001033694	SREBF2
NM_013196	PPARA
NM_017058	VDR
NM_017058	VDR
NM_017058	VDR
NM_017058	VDR
NM_001106792	ZFP641
NM_001106792	ZFP641
NM_001100895	ATF1
NM_001100895	ATF1
NM_001100895	ATF1
NM_001100895	ATF1
NM_001100895	ATF1
NM_001105746	POU6F1
NM_001105746	POU6F1
NM_001105746	POU6F1
NM_001105746	POU6F1
NM_001105746	POU6F1
NM_001105746	POU6F1
NM_001105746	POU6F1
NM_001134714	TFCP2
NM_001134714	TFCP2
NM_001135250	RARG
NM_001135250	RARG
NM_001135250	RARG
NM_001135249	RARG
NM_001135249	RARG
NM_001135249	RARG
NM_012655	SP1
NM_012655	SP1
NM_012655	SP1
NM_012655	SP1
NM_012655	SP1
NM_012655	SP1
NM_012655	SP1
NM_012655	SP1
NM_012655	SP1
NM_012655	SP1
NM_012655	SP1
NM_012655	SP1
NM_012655	SP1
